name,popularity,cumulative
Elijah,0.09752,94.5331580000001
Dan,0.096733,94.6298910000001
Jimmie,0.096594,94.7264850000001
Gene,0.096173,94.8226580000001
Jared,0.095766,94.9184240000001
Caleb,0.095524,95.0139480000001
Marion,0.09409,95.1080380000001
Adrian,0.093318,95.2013560000001
Willard,0.093192,95.2945480000001
Mitchell,0.091889,95.3864370000001
Shane,0.091574,95.478011
Darrell,0.091486,95.569497
Wallace,0.090665,95.660162
Julius,0.09066,95.750822
Corey,0.08993,95.840752
Clayton,0.089651,95.930403
Jon,0.089452,96.019855
Roland,0.088374,96.108229
Julian,0.088073,96.196302
Virgil,0.087506,96.283808
Ian,0.086563,96.370371
Morris,0.086521,96.456892
Lonnie,0.086462,96.543354
Horace,0.084091,96.627445
Micheal,0.083713,96.711158
Chris,0.083447,96.7946050000001
Ira,0.082493,96.877098
Angel,0.081914,96.9590120000001
Clinton,0.081759,97.040771
Archie,0.081673,97.1224440000001
Bob,0.080001,97.202445
Miguel,0.079455,97.2819
Brett,0.079154,97.361054
Hunter,0.07892,97.439974
Seth,0.078538,97.518512
Wilbur,0.077543,97.596055
Jeff,0.077339,97.673394
Earnest,0.075473,97.748867
Jake,0.074666,97.823533
Marshall,0.074659,97.898192
Otto,0.074382,97.972574
Karl,0.073927,98.046501
Ivan,0.073613,98.120114
Mario,0.073578,98.193692
Erik,0.073473,98.267165
Otis,0.073352,98.340517
Jeremiah,0.073331,98.413848
Isaiah,0.073038,98.486886
Owen,0.07293,98.559816
Duane,0.072481,98.632297
Hubert,0.072203,98.7045
Brent,0.072116,98.776616
Ed,0.071579,98.848195
Willis,0.071463,98.919658
Francisco,0.071058,98.990716
Marc,0.071052,99.061768
Perry,0.070152,99.13192
Trevor,0.069986,99.201906
Derrick,0.069694,99.2716
Jackson,0.069278,99.340878
Nelson,0.068637,99.409515
Bert,0.0686,99.478115
Grant,0.068005,99.54612
Ross,0.067764,99.613884
Lucas,0.06766,99.681544
Neil,0.067379,99.748923
Ruben,0.066943,99.815866
Dave,0.06655,99.882416
Mason,0.066534,99.94895
Connor,0.06648,100.01543
Reginald,0.066474,100.081904
Allan,0.066405,100.148309
Ricardo,0.065286,100.213595
Clifton,0.065285,100.27888
Devin,0.064968,100.343848
Blake,0.064506,100.408354
Dominic,0.064252,100.472606
Abraham,0.063702,100.536308
Cory,0.063318,100.599626
Rudolph,0.063028,100.662654
Garrett,0.06213,100.724784
Preston,0.062007,100.786791
Spencer,0.061696,100.848487
Charley,0.061307,100.909794
August,0.06113,100.970924
Grover,0.061048,101.031972
Irving,0.059392,101.091364
Felix,0.05919,101.150554
Bennie,0.059009,101.209563
Byron,0.058862,101.268425
Ted,0.058313,101.326738
Taylor,0.058054,101.384792
Edmund,0.057963,101.442755
Rufus,0.057885,101.50064
Levi,0.05732,101.55796
Andre,0.056733,101.614693
